#{"t_start": 1771238678.271325, "env_id": null}
r,l,t
28.2,25,44.167155
20.8,25,44.657822
25.3,25,44.668883
26.3,25,44.678095
29.2,25,44.687627
26.9,25,44.69711
27.2,25,44.706478
26.3,25,44.716495
27.2,25,44.728
25.3,25,44.740536
24.2,25,44.751796
28.2,25,44.761071
28.2,25,44.769842
25.9,25,44.778832
28.2,25,44.788686
26.3,25,44.797651
29.2,25,44.806156
27.2,25,44.814997
25.4,25,44.823645
26.4,25,44.832107
26.2,25,44.840837
23.1,25,45.351982
26.6,25,45.36433
22.1,25,45.376109
25.3,25,45.385551
24.3,25,45.433594
26.6,25,45.459866
26.0,25,45.473577
29.3,25,45.483989
28.3,25,45.494045
27.0,25,45.504032
26.9,25,45.515483
25.3,25,45.532
25.1,25,45.550768
26.3,25,45.562944
21.9,25,45.572351
26.9,25,45.582539
29.3,25,45.592086
26.4,25,45.601605
26.3,25,45.612053
28.2,25,45.622922
26.2,25,45.634294
28.3,25,45.978388
27.6,25,45.988502
27.3,25,45.997147
26.3,25,46.005953
28.3,25,46.014769
27.3,25,46.0239
26.1,25,46.033264
25.3,25,46.044047
28.2,25,46.053135
27.2,25,46.061968
31.2,25,46.070825
27.3,25,46.079485
29.2,25,46.094242
27.3,25,46.104772
27.3,25,46.114421
29.6,25,46.125148
29.2,25,46.137546
26.3,25,46.147727
29.2,25,46.157527
27.2,25,46.166904
25.3,25,46.489456
24.4,25,46.501381
27.2,25,46.510528
28.2,25,46.519293
27.2,25,46.528147
26.2,25,46.538083
28.2,25,46.549149
28.2,25,46.558271
28.2,25,46.567379
26.0,25,46.575908
25.9,25,46.588082
27.3,25,46.597985
26.3,25,46.606541
26.2,25,46.615626
25.3,25,46.624523
28.6,25,46.633065
25.9,25,46.64238
26.2,25,46.651366
28.2,25,46.660123
27.2,25,46.668937
24.3,25,46.678196
28.6,25,46.993926
19.9,25,47.003959
26.3,25,47.01248
28.2,25,47.021354
27.4,25,47.029845
27.3,25,47.039151
27.2,25,47.049863
25.3,25,47.058516
27.2,25,47.067261
27.6,25,47.075788
27.3,25,47.084347
27.2,25,47.093102
26.3,25,47.101859
26.2,25,47.110388
29.6,25,47.119126
27.2,25,47.127606
31.6,25,47.136422
26.3,25,47.144741
25.3,25,47.153044
26.6,25,47.161399
26.3,25,47.467591
27.2,25,47.480139
28.3,25,47.489926
26.6,25,47.500082
27.2,25,47.509765
24.0,25,47.519235
26.0,25,47.530188
27.2,25,47.540095
26.3,25,47.549721
26.3,25,47.563115
25.3,25,47.572097
28.6,25,47.581848
27.6,25,47.591725
25.2,25,47.599981
27.4,25,47.608285
25.6,25,47.616449
26.2,25,47.624906
24.2,25,47.633413
24.0,25,47.641977
26.7,25,47.650531
27.3,25,47.659178
29.2,25,47.953378
29.6,25,47.963021
24.1,25,47.971543
26.3,25,47.979806
24.1,25,47.989323
29.3,25,47.997938
